business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,city.1,name,neighborhoods,longitude,latitude,state,stars
sJpv6MouGQhQOt0V0W0UYw,"8665 W Flamingo Rd
Ste 107
Spring Valley
Las Vegas, NV 89147",12:00 - 02:00,12:00 - 02:00,12:00 - 02:00,12:00 - 02:00,12:00 - 02:00,12:00 - 02:00,12:00 - 02:00,True,"Bars,Mediterranean,Nightlife,Lounges,Hookah Bars,Restaurants",Las Vegas,68,Layla Grill & Hookah,Spring Valley,-115.2803993,36.1139221,NV,5.0
0HIOVPAD0NngfT1_zrUh5w,"1445 W Southern Ave
Fiesta Mall
Mesa, AZ 85202",,,,,,,,True,"Mediterranean,Restaurants",Mesa,8,Sahara Express,,-111.8609449,33.38891454,AZ,5.0
W3VsNhHLMRj5ABMdMcpaUw,"7122 E Greenway Pkwy
Ste 120
Scottsdale, AZ 85254",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 21:00,10:00 - 21:00,12:00 - 18:00,True,"Food,Specialty Food,Mediterranean,Restaurants",Scottsdale,12,Queen Creek Olive Mill Oils & Olives Kierland Commons,,-111.9293764,33.6228883,AZ,5.0
Oi_OT6erHvm6lb_D8bwslw,"2502 E Camelback Rd
Ste 148H
Phoenix, AZ 85016",10:00 - 20:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 20:00,11:00 - 20:00,12:00 - 18:00,True,"Food,Specialty Food,Mediterranean,Restaurants",Phoenix,6,Queen Creek Olive Mill Oils & Olives Biltmore Fashion Park,,-112.027191,33.510185,AZ,5.0
Ls2ZYnTrESmH8t9TpCSHqA,"4804 E Chandler Blvd
Phoenix, AZ 85048",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 21:00,11:00 - 21:00,11:00 - 20:00,True,"Mediterranean,Restaurants",Phoenix,3,ZK Grill,,-111.9798844,33.3057767,AZ,5.0
iG6o2hynadsVsOWeh9b1Vg,"87 Giles St
Leith
Leith
Edinburgh EH6 6BZ",,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,,True,"Mediterranean,Restaurants",Edinburgh,3,Vintners Rooms,Leith,-3.1723567000000004,55.97403050000001,EDH,5.0
pXZtlGpKm-AHLPjD-reuIw,"1320 E Broadway Rd
Ste 101
Tempe, AZ 85281",12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 22:00,12:00 - 22:00,12:00 - 21:00,True,"Mediterranean,Arabian,Middle Eastern,Restaurants",Tempe,9,Palm Beach Middle Eastern Restaurant,,-111.9171196,33.40829585,AZ,4.5
4KUtlXKejC8saY5euhDVrA,"4312 W Cactus Rd
Ste 10
Glendale, AZ 85304",09:00 - 17:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,True,"Mediterranean,Restaurants",Glendale,33,Shawarma King,,-112.1522241,33.5964473,AZ,4.5
vcMcfqkkX-o4Ta-hr65odg,"5932 W Bell
Ste D 109
Glendale, AZ 85308",10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 18:00,True,"Greek,American (Traditional),Mediterranean,Restaurants",Glendale,9,Al's Gyro's,,-112.1870284,33.6403912,AZ,4.5
zbjPg_vvxCWkFjeEvVpmnA,"1500 N Green Valley Pkwy
Ste 230
Henderson, NV 89074",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,11:00 - 16:00,True,"Lebanese,Mediterranean,American (New),Middle Eastern,Restaurants",Henderson,48,ZiKiZ,,-115.086426,36.02951,NV,4.5
giaz_4IuWCB56GIYY1Qlig,"1805 E Elliot Rd
Tempe, AZ 85284",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:30 - 14:00,False,"Mediterranean,Restaurants",Tempe,7,Fusion Mediterranean Delight,,-111.909978,33.3478761,AZ,4.5
2WYBbV-VCKcnFemxWDZH_w,"239 E Main St
Sun Prairie, WI 53590",,16:00 - 21:00,16:00 - 21:00,16:00 - 21:00,16:00 - 21:00,11:00 - 21:00,16:00 - 21:00,True,"Greek,Mediterranean,Restaurants",Sun Prairie,30,Atlantis Taverna,,-89.21159509999998,43.1829812,WI,4.5
4rr-CJp0jMKr-kg9wnrTdw,"2620 W Broadway Rd
Mesa, AZ 85202",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,11:00 - 19:00,True,"Middle Eastern,Lebanese,Mediterranean,Arabian,Restaurants",Mesa,76,Princess Mediterranean Market & Deli,,-111.887898,33.407996999999995,AZ,4.5
l-npaoUMhCy8HocKsuI-GQ,"6160 W Tropicana Ave
Ste E 8
Las Vegas, NV 89103",10:00 - 00:00,10:00 - 00:00,10:00 - 00:00,10:00 - 00:00,10:00 - 00:00,10:00 - 00:00,12:00 - 00:00,True,"Mediterranean,Restaurants",Las Vegas,26,BG Bistro,,-115.2272996,36.10052786,NV,4.5
#NAME?,"717 W Union Hills
Ste 1
Phoenix, AZ 85027",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 18:00,True,"Greek,Mediterranean,Restaurants",Phoenix,143,Chicago Gyros,,-112.08357990000002,33.65435321,AZ,4.5
Ap6gsHZAT_ALSmBg2Zut3Q,"6949 E Shea Blvd
Scottsdale, AZ 85254",,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,12:00 - 21:00,12:00 - 21:00,False,"Greek,Vegetarian,Mediterranean,Middle Eastern,Restaurants",Scottsdale,16,Sabuddy Israeli,,-111.931282,33.581569,AZ,4.5
SkcccvAydbt5zlQI0EUL2g,"7369 W Bell Rd
Peoria, AZ 85382",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 21:00,11:00 - 21:00,11:00 - 19:00,True,"Greek,Mediterranean,Restaurants",Peoria,184,Greek Wraps,,-112.217436,33.637659,AZ,4.5
yJYXwvF_RBUIdguShrYSSg,"77 Sirloin Strip
Capitol View Heights
Madison, WI 53713",16:00 - 22:00,16:00 - 00:00,16:00 - 00:00,16:00 - 01:00,16:00 - 02:30,16:00 - 02:30,16:00 - 22:00,True,"Bars,Mediterranean,Middle Eastern,Nightlife,Lounges,Restaurants",Madison,14,Mediterranean Hookah Lounge and Cafe,Capitol View Heights,-89.386628,43.038886,WI,4.5
Af2qmVsMCzpKEg4DxsCm2g,"1310 E Silverado Ranch Blvd
Southeast
Las Vegas, NV 89123",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,True,"Mediterranean,Restaurants",Las Vegas,59,Pita House,Southeast,-115.134967,36.013806,NV,4.5
dcoG-HYQEAgvFzcBtQb_yg,"1674 N Higley Rd
Ste 104
Gilbert, AZ 85234",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,True,"Afghan,Mediterranean,Middle Eastern,Restaurants",Gilbert,70,Rania's Kabob Grill,,-111.724168,33.381279,AZ,4.5
zfY68t7nVihCwiCsCgM6cw,"1930 W Pinnacle Peak Rd
Ste 101
Phoenix, AZ 85027",09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,04:00 - 19:00,11:00 - 19:00,True,"Food,Ethnic Food,Specialty Food,Mediterranean,Restaurants",Phoenix,74,Olive Tree Market & Grill,,-112.101312,33.6988429,AZ,4.5
ed5VpqG6NlI2_ALQpZ0lLA,"625 State St
Capitol
Madison, WI 53703",10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,,True,"Greek,Mediterranean,Restaurants",Madison,101,Mediterranean Cafe,Capitol,-89.3964056,43.0748824,WI,4.5
VXLTu4PnNrKYsma_UiB5WQ,"1747 E Camelback Rd
Ste 103
Phoenix, AZ 85016",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 20:00,09:00 - 20:00,True,"Mediterranean,Restaurants",Phoenix,3,Greka Pita,,-112.0437342,33.50835444,AZ,4.5
FY_OXEVcewAQFZuu6fynLA,"4026 E Indian School Rd
Phoenix, AZ 85073",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,12:00 - 20:00,True,"Greek,Mediterranean,Restaurants",Phoenix,182,Z's Greek,,-111.9940154,33.4953688,AZ,4.5
0IV5L36XeQShzWiUhom9bQ,"8150 S Maryland Pkwy
120
Southeast
Las Vegas, NV 89123",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,12:00 - 20:00,True,"Afghan,Mediterranean,Restaurants",Las Vegas,18,Kabob Factory,Southeast,-115.1353976,36.0416591,NV,4.5
99sCwDPUWx_b-n-d6sZ0CA,"3510 E Bell Rd
Ste 3
Phoenix, AZ 85032",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 17:00,True,"Greek,Mediterranean,Restaurants",Phoenix,25,Kabab House,,-112.0063922,33.6412984,AZ,4.5
dpnUnyzN_by1MER7F8ezzA,"15414 N 7th St
Ste 6
Phoenix, AZ 85022",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 19:00,,True,"Greek,Mediterranean,Restaurants",Phoenix,26,Gyrosology,,-112.0662462,33.62630761,AZ,4.5
fC2nbJgAazYnLK2pCDineg,"7000 E Mayo Blvd
Phoenix, AZ 85054",11:00 - 20:00,11:00 - 18:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,,True,"Persian/Iranian,Mediterranean,Restaurants",Phoenix,29,Skewers Persian Grill,,-111.9300279,33.65568399,AZ,4.5
dn9sB0Kok8cnkDhpcl7YCg,"10652 N 32nd St
Phoenix, AZ 85028",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,True,"Mediterranean,Middle Eastern,Restaurants",Phoenix,57,Gyro House,,-112.0131039,33.583492799999995,AZ,4.5
#NAME?,"5440 Willow Rd
Waunakee, WI 53597",,11:00 - 14:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,,,False,"Italian,Mediterranean,Restaurants",Waunakee,3,Bunky's Cafe,,-89.41630907,43.15066584,WI,4.5
0TgiBiSmp6cHVGqDuIkANA,"43-45 Salisbury Road
Newington
Edinburgh EH16 5AA",18:00 - 21:00,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,True,"Food,Coffee & Tea,Mediterranean,French,Restaurants",Edinburgh,3,Cafe Cassis,Newington,-3.1769633,55.9377649,EDH,4.5
yZXEELxi8KMwzXCHP345GQ,"2550 S Rainbow Blvd
Ste  W1
Westside
Las Vegas, NV 89146",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,True,"Bars,Turkish,Mediterranean,Nightlife,Lounges,Restaurants",Las Vegas,18,Maza Mediterranean Grill & Lounge,Westside,-115.2419755,36.1433968,NV,4.5
1epH2hHsZ2HoSU8ugWWSOw,"933 E University Dr
Ste 112
Tempe, AZ 85281",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,True,"Middle Eastern,Mediterranean,Ethiopian,Restaurants",Tempe,22,Juba,,-111.9247139,33.421350800000006,AZ,4.5
ukTwFX4wQW4FbQbnWI9aJg,"263 E Warner Rd
Ste 105
Gilbert, AZ 85296",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,12:00 - 20:00,True,"Fast Food,Mediterranean,Restaurants",Gilbert,72,Pita Di Vita,,-111.7838032,33.3349062,AZ,4.5
tYOx9fHj6B6rmoNRdrAPFQ,"14880 N Northsight Blvd
Scottsdale, AZ 85260",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 19:00,False,"Middle Eastern,Mediterranean,Restaurants",Scottsdale,51,The Mediterranean Grill,,-111.8983459,33.62164688,AZ,4.5
rN2cc4bXzlsIxhWEoolBTg,"7620 E McKellips Rd
Ste 6
Scottsdale, AZ 85257",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,True,"Greek,American (Traditional),Mediterranean,Restaurants",Scottsdale,143,George's Famous Gyros,,-111.916537,33.45168,AZ,4.5
tWVuAPWXvW2g8ce0WWepXA,"20206 N 27th Ave
Ste A
Phoenix, AZ 85027",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,,True,"Greek,American (Traditional),Mediterranean,Restaurants",Phoenix,37,George's Famous Gyros & Pasta,,-112.117962,33.670413,AZ,4.5
rGvkljWlP7ysvLEUucoyqA,"3655 S Durango Dr
Ste 11-14
Spring Valley
Las Vegas, NV 89147",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 16:00,True,"Persian/Iranian,Mediterranean,Restaurants",Las Vegas,122,Zaytoon Mediterranean Market and Kabob,Spring Valley,-115.2794069,36.1238325,NV,4.5
LxNehlnStQY_rxEwiPof_g,"4243 W Thunderbird Rd
Phoenix, AZ 85053",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 19:30,,True,"Greek,Mediterranean,Restaurants",Phoenix,88,King Gyros,,-112.15006909999998,33.6106434,AZ,4.5
svx5Gw-FJ6ZU9hb58aXgLg,"930 W Broadway Rd
Ste 11
Tempe, AZ 85282",10:30 - 20:00,10:30 - 20:00,10:30 - 20:00,10:30 - 20:00,10:30 - 20:00,10:30 - 19:00,,True,"Middle Eastern,Lebanese,Mediterranean,Moroccan,Restaurants",Tempe,177,Hummus Xpress,,-111.9537532,33.40780326,AZ,4.5
wxd-aYUwswZKjoIr8t-53w,"9915 W Mcdowell Rd
Ste 104
Avondale, AZ 85392",10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 22:00,10:30 - 22:00,10:30 - 21:00,True,"Greek,Vegetarian,Mediterranean,Restaurants",Avondale,143,Pita Kitchen,,-112.2727525,33.46456819,AZ,4.5
ll8SKTQKqajLeLi64-93Qw,"4825 W Flamingo Rd
Las Vegas, NV 89103",,,,,,,,False,"Bakeries,Mediterranean,Middle Eastern,Food,Restaurants",Las Vegas,5,Byblos Cafe & Pastries,,-115.206845,36.114821,NV,4.5
g1nyGrCI6ibXlIRLMWtvhA,"16948 E Shea Blvd
Ste 101
Fountain Hills, AZ 85268",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,10:00 - 20:00,True,"Food,Ethnic Food,Specialty Food,Mediterranean,Restaurants",Fountain Hills,32,Munich Gyros,,-111.7142695,33.5738374,AZ,4.5
2MY2YOCvReXGpXxtN0_a3A,"565 Marks St
Henderson, NV 89014",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 21:00,11:00 - 21:00,,True,"Greek,Mediterranean,Restaurants",Henderson,125,Greek Bistro,,-115.037085,36.062364,NV,4.5
KrFkX0kVeCrjdqoakXYy8w,"10612 S Eastern Ave
Anthem
Henderson, NV 89052",10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 22:00,10:30 - 22:00,11:00 - 21:00,True,"Greek,Mediterranean,Salad,Restaurants",Henderson,104,Stephano's Greek & Mediterranean Grill,Anthem,-115.10386,35.9988269,NV,4.5
FrPm9l_CmSwBe8TCEiQnUg,"7101 E Thunderbird Rd
Ste 101A
Scottsdale, AZ 85254",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 00:00,11:00 - 00:00,11:00 - 22:00,False,"Wine Bars,Bars,Mediterranean,Nightlife,Restaurants",Scottsdale,7,Crush'd Wine Bar and Market,,-111.927561,33.610963,AZ,4.5
vogZZuDmuVZmKssoZ11Kyw,"2105 Sherman Ave
Madison, WI 53704",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,True,"Food,Mediterranean,Food Trucks,Restaurants",Madison,132,Banzo,,-89.36459541,43.10167223,WI,4.5
NZSa_ULvwidCxA0OG7B2Ig,"7116 E Mercer Ln
Scottsdale, AZ 85254",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 16:00,19:30 - 23:00,08:00 - 20:00,True,"Kosher,Vegetarian,Mediterranean,Restaurants",Scottsdale,49,Mozart Cafe & Bakery,,-111.927548,33.585636,AZ,4.5
AfWA8pvc5AW9QafQLui7_A,"1275 W Warm Springs Rd
Ste 160
Henderson, NV 89014",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 21:00,11:00 - 21:00,,True,"Greek,Mediterranean,Diners,Restaurants",Henderson,279,The Great Greek,,-115.0416366,36.0555969,NV,4.5
93hdmjYc8IXsf69VrkRHog,"15414 N 19th Ave
Phoenix, AZ 85023",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,True,"Greek,American (Traditional),Mediterranean,Restaurants",Phoenix,149,Good Fellas Grill,,-112.1002302,33.6264211,AZ,4.5
nRO4tRwimU12hg7Cnz__iA,"13843 N Tatum Blvd
Ste 29
Phoenix, AZ 85032",11:00 - 20:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,12:00 - 21:00,16:00 - 20:00,True,"Greek,Mediterranean,Restaurants",Phoenix,145,Eden's Grill Inn,,-111.976905,33.612935,AZ,4.5
XxE8YV18K6Cb7uvQLN3XZQ,"205 N Country Club Dr
Mesa, AZ 85201",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,11:00 - 20:00,True,"Greek,Mediterranean,Restaurants",Mesa,61,Georges Gyros,,-111.8393707,33.419866,AZ,4.5
LCPso_j2icWvJI1bHN9uDQ,"172 Morningside Rd
Morningside
Edinburgh EH10 4AX",,,,,,,,True,"Mediterranean,Restaurants",Edinburgh,4,Yellow Café,Morningside,-3.2096007,55.9294257,EDH,4.5
ILoDsxtqtLU2oTMaf_laGQ,"4872 W Lone Mountain Rd
Northwest
Las Vegas, NV 89130",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,,True,"Greek,Mediterranean,Restaurants",Las Vegas,164,Baladie Café,Northwest,-115.2091942,36.2467581,NV,4.5
XGK7mKZJQtJa77Izhx6xyQ,"8275 W Lake Pleasant Pkwy
Peoria, AZ 85382",,,,,,,,False,"Mediterranean,Restaurants",Peoria,6,Royal Gyros,,-112.239255,33.669826,AZ,4.0
ky6c1bhp1695tWLfnyKOyQ,"9550 S Eastern Ave
Southeast
Las Vegas, NV 89123",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 20:00,True,"Mediterranean,Persian/Iranian,Middle Eastern,Restaurants",Las Vegas,79,Kabob Grill,Southeast,-115.117581,36.01465839999999,NV,4.0
VD8a_B589J_NlCirS8QA0Q,"37555 Hum Rd
Ste 109
Carefree, AZ 85377",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,False,"Greek,Mediterranean,Restaurants",Carefree,24,Saba's Mediterranean Cuisine,,-111.922982,33.825638,AZ,4.0
2l4UTdi_F9zVZ1Kv4Fj-zQ,"7365 W Sahara Ave
Ste K
Westside
Las Vegas, NV 89117",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 22:00,11:00 - 22:00,12:00 - 20:00,True,"Greek,Lebanese,Mediterranean,Middle Eastern,Restaurants",Las Vegas,101,Hedary's Mediterranean Restaurant,Westside,-115.2536257,36.1430817,NV,4.0
3Zsjlum5kl5N5KV712aTMQ,"11111 N 7th St
Phoenix, AZ 85020",18:00 - 21:30,18:00 - 21:30,18:00 - 21:30,18:00 - 21:30,18:00 - 22:00,18:00 - 22:00,18:00 - 21:30,True,"Italian,American (Traditional),Mediterranean,Restaurants",Phoenix,189,Different Pointe of View,,-112.064668,33.59547,AZ,4.0
fWnGkLnZzv2yl3fB7xF40g,"17040 N Scottsdale Rd
Scottsdale, AZ 85255",11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 22:30,11:00 - 22:30,11:00 - 21:30,True,"Mediterranean,Persian/Iranian,Middle Eastern,Restaurants",Scottsdale,273,Persian Room,,-111.9257091,33.641182,AZ,4.0
LsUJZOMKl4QpWbVCV2nVqQ,"1300 W Sunset Rd
Henderson, NV 89014",10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,11:00 - 18:00,True,"Greek,Mediterranean,Restaurants",Henderson,68,Kyklos Greek Cafe,,-115.045078,36.068241,NV,4.0
UL6H7LGaeM4X0p8OJ3h1aw,"10210 W McDowell Rd
Unit 120
Avondale, AZ 85323",,,,,,,,False,"Greek,Mediterranean,Restaurants",Avondale,6,Ararat Mediterranean Restaurant,,-112.345359,33.430535,AZ,4.0
y6sNNP97UCSl_p2o5Wm40A,"4147 S Maryland Pkwy
Eastside
Las Vegas, NV 89119",11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,True,"Greek,Vegetarian,Mediterranean,Restaurants",Las Vegas,274,Paymon's Mediterranean Cafe & Lounge,"Eastside,University",-115.13823,36.1135943,NV,4.0
LsArM1PhbqvXK3lDK-Ch_w,"4632 S Maryland Pkwy
University
Las Vegas, NV 89119",10:30 - 19:00,10:30 - 19:00,10:30 - 19:00,10:30 - 19:00,10:30 - 19:00,11:00 - 17:00,00:00 - 20:00,True,"Greek,Mediterranean,Middle Eastern,Restaurants",Las Vegas,202,Stephano's Greek & Mediterranean Grill,University,-115.136178,36.1051599,NV,4.0
qXQ3ZBdwI3GlbR5-eYWqNA,"4747 E Bell Rd
Phoenix, AZ 85032",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,True,"Greek,Mediterranean,Restaurants",Phoenix,102,Saba's Mediterranean Cuisine,,-112.00303,33.62121,AZ,4.0
238vCjwa6kQCV7ukJI6d8A,"3655 W Anthem Way
Anthem, AZ 85086",,,,,,,,True,"Greek,Mediterranean,Restaurants",Anthem,23,Mr Gyros II,,-112.1388544,33.8649126,AZ,4.0
8Z3jgKCdfp57PvT1AFOWtg,"3900 Paradise Rd
Ste Y
Eastside
Las Vegas, NV 89169",17:30 - 23:00,17:30 - 23:00,17:30 - 23:00,17:30 - 23:00,17:30 - 23:00,17:30 - 23:00,17:30 - 23:00,True,"Mediterranean,Middle Eastern,Moroccan,Restaurants",Las Vegas,209,Marrakech Moroccan Restaurant,Eastside,-115.1542695,36.1186973,NV,4.0
jNc_HINcNZx-jkh06R2YEQ,"6530 W Happy Valley
Ste 114
Glendale, AZ 85310",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 20:00,True,"Middle Eastern,Greek,Mediterranean,Restaurants",Glendale,37,Ammos Mediterranean Grill,,-112.2006889,33.713643,AZ,4.0
9nC58L8jwheiihZfc3poJA,"5050 E McDowell Rd
Phoenix, AZ 85008",,,,,,,,True,"Middle Eastern,African,Mediterranean,Restaurants",Phoenix,21,Juba Restaurant,,-111.97384270000002,33.46587326,AZ,4.0
eg4nd09goZ8opkthsKgn5Q,"1125 E Apache Blvd
Tempe, AZ 85281",16:00 - 02:00,16:00 - 02:00,16:00 - 02:00,16:00 - 02:00,16:00 - 04:00,16:00 - 04:00,16:00 - 02:00,True,"Mediterranean,Middle Eastern,Restaurants",Tempe,28,King Tut Cafe & Catering,,-111.921157,33.414417,AZ,4.0
eGevCRobYnA_HSj60sEWvQ,"1250 E. Apache Blvd.
Tempe, AZ 85281",10:30 - 22:00,10:30 - 22:00,10:30 - 22:00,10:30 - 22:00,10:30 - 22:00,10:30 - 22:00,10:30 - 22:00,True,"Vegetarian,American (New),Mediterranean,Restaurants",Tempe,323,Pita Jungle,,-111.9185086,33.4153291,AZ,4.0
