date,iso_date,stars
12/10/05,2005-12-10,3
1/13/06,2006-1-13,5
4/17/06,2006-4-17,4
12/21/07,2007-12-21,5
6/12/07,2007-6-12,3
9/12/07,2007-9-12,5
1/3/08,2008-1-3,1
10/15/08,2008-10-15,2
11/23/08,2008-11-23,2
12/29/08,2008-12-29,4
3/15/08,2008-3-15,4
3/29/08,2008-3-29,5
5/25/08,2008-5-25,4
5/6/08,2008-5-6,5
6/20/08,2008-6-20,5
6/20/08,2008-6-20,4
7/31/08,2008-7-31,2
7/6/08,2008-7-6,5
9/14/08,2008-9-14,5
9/22/08,2008-9-22,4
9/26/08,2008-9-26,4
1/17/09,2009-1-17,5
1/19/09,2009-1-19,3
1/5/09,2009-1-5,4
10/21/09,2009-10-21,4
10/25/09,2009-10-25,4
10/26/09,2009-10-26,4
11/14/09,2009-11-14,5
11/4/09,2009-11-4,3
11/8/09,2009-11-8,5
12/10/09,2009-12-10,4
12/11/09,2009-12-11,4
12/12/09,2009-12-12,1
12/15/09,2009-12-15,5
12/23/09,2009-12-23,5
12/3/09,2009-12-3,2
12/31/09,2009-12-31,5
2/2/09,2009-2-2,2
3/27/09,2009-3-27,4
3/5/09,2009-3-5,5
4/2/09,2009-4-2,5
4/21/09,2009-4-21,2
4/29/09,2009-4-29,4
4/5/09,2009-4-5,4
4/7/09,2009-4-7,5
4/7/09,2009-4-7,4
5/20/09,2009-5-20,2
5/21/09,2009-5-21,3
5/26/09,2009-5-26,3
6/28/09,2009-6-28,4
7/13/09,2009-7-13,5
8/17/09,2009-8-17,5
8/28/09,2009-8-28,3
9/20/09,2009-9-20,3
9/20/09,2009-9-20,4
9/3/09,2009-9-3,4
9/6/09,2009-9-6,5
1/2/10,2010-1-2,3
10/25/10,2010-10-25,3
10/25/10,2010-10-25,4
10/8/10,2010-10-8,4
11/1/10,2010-11-1,3
11/17/10,2010-11-17,2
11/28/10,2010-11-28,4
11/30/10,2010-11-30,4
11/30/10,2010-11-30,4
11/9/10,2010-11-9,4
12/14/10,2010-12-14,5
12/20/10,2010-12-20,5
12/21/10,2010-12-21,3
2/11/10,2010-2-11,5
2/9/10,2010-2-9,5
3/13/10,2010-3-13,3
3/27/10,2010-3-27,2
4/14/10,2010-4-14,4
4/23/10,2010-4-23,1
4/4/10,2010-4-4,4
4/6/10,2010-4-6,4
4/8/10,2010-4-8,4
5/16/10,2010-5-16,5
5/22/10,2010-5-22,4
5/23/10,2010-5-23,3
6/14/10,2010-6-14,4
6/15/10,2010-6-15,3
6/22/10,2010-6-22,5
6/25/10,2010-6-25,4
7/11/10,2010-7-11,3
7/14/10,2010-7-14,4
7/17/10,2010-7-17,5
7/18/10,2010-7-18,4
7/22/10,2010-7-22,4
7/22/10,2010-7-22,3
7/26/10,2010-7-26,4
7/27/10,2010-7-27,5
7/3/10,2010-7-3,3
7/31/10,2010-7-31,3
7/7/10,2010-7-7,5
8/10/10,2010-8-10,4
8/10/10,2010-8-10,5
8/19/10,2010-8-19,5
8/2/10,2010-8-2,4
8/20/10,2010-8-20,5
8/23/10,2010-8-23,5
8/25/10,2010-8-25,3
8/3/10,2010-8-3,4
8/4/10,2010-8-4,4
8/5/10,2010-8-5,4
9/11/10,2010-9-11,5
9/19/10,2010-9-19,4
9/23/10,2010-9-23,3
9/26/10,2010-9-26,5
9/27/10,2010-9-27,5
9/6/10,2010-9-6,4
9/9/10,2010-9-9,4
1/14/11,2011-1-14,4
1/18/11,2011-1-18,5
1/19/11,2011-1-19,4
1/21/11,2011-1-21,3
1/26/11,2011-1-26,5
1/27/11,2011-1-27,5
1/28/11,2011-1-28,4
1/5/11,2011-1-5,3
10/12/11,2011-10-12,5
10/25/11,2011-10-25,4
10/25/11,2011-10-25,4
10/26/11,2011-10-26,1
10/27/11,2011-10-27,4
10/6/11,2011-10-6,2
11/12/11,2011-11-12,3
11/14/11,2011-11-14,5
11/15/11,2011-11-15,5
11/17/11,2011-11-17,5
11/23/11,2011-11-23,3
11/25/11,2011-11-25,5
11/28/11,2011-11-28,4
12/13/11,2011-12-13,4
12/18/11,2011-12-18,5
12/21/11,2011-12-21,4
12/23/11,2011-12-23,1
12/27/11,2011-12-27,5
12/4/11,2011-12-4,4
12/4/11,2011-12-4,2
12/5/11,2011-12-5,3
12/5/11,2011-12-5,4
12/7/11,2011-12-7,4
2/2/11,2011-2-2,4
2/8/11,2011-2-8,5
2/9/11,2011-2-9,2
3/23/11,2011-3-23,5
4/17/11,2011-4-17,3
4/25/11,2011-4-25,5
5/12/11,2011-5-12,4
5/27/11,2011-5-27,5
5/31/11,2011-5-31,5
5/4/11,2011-5-4,1
5/7/11,2011-5-7,4
5/8/11,2011-5-8,3
6/16/11,2011-6-16,3
6/20/11,2011-6-20,5
6/23/11,2011-6-23,5
6/24/11,2011-6-24,5
6/26/11,2011-6-26,5
6/6/11,2011-6-6,3
7/13/11,2011-7-13,5
7/18/11,2011-7-18,3
7/21/11,2011-7-21,2
7/22/11,2011-7-22,5
7/4/11,2011-7-4,2
7/9/11,2011-7-9,5
8/19/11,2011-8-19,3
8/2/11,2011-8-2,1
8/22/11,2011-8-22,4
9/26/11,2011-9-26,1
9/7/11,2011-9-7,3
9/9/11,2011-9-9,4
1/14/12,2012-1-14,5
1/21/12,2012-1-21,5
1/29/12,2012-1-29,5
1/7/12,2012-1-7,5
10/1/12,2012-10-1,4
10/13/12,2012-10-13,4
10/20/12,2012-10-20,4
10/24/12,2012-10-24,3
10/26/12,2012-10-26,3
11/1/12,2012-11-1,3
11/16/12,2012-11-16,3
11/18/12,2012-11-18,2
11/18/12,2012-11-18,3
11/28/12,2012-11-28,4
11/28/12,2012-11-28,5
11/8/12,2012-11-8,2
11/8/12,2012-11-8,2
11/8/12,2012-11-8,4
12/19/12,2012-12-19,4
12/20/12,2012-12-20,4
2/11/12,2012-2-11,4
2/12/12,2012-2-12,5
2/21/12,2012-2-21,5
2/21/12,2012-2-21,4
2/29/12,2012-2-29,1
3/2/12,2012-3-2,4
3/22/12,2012-3-22,4
3/24/12,2012-3-24,5
3/28/12,2012-3-28,4
3/3/12,2012-3-3,5
3/7/12,2012-3-7,5
4/19/12,2012-4-19,4
4/25/12,2012-4-25,5
4/5/12,2012-4-5,5
4/5/12,2012-4-5,5
5/1/12,2012-5-1,4
5/14/12,2012-5-14,4
5/19/12,2012-5-19,5
5/2/12,2012-5-2,4
5/23/12,2012-5-23,4
5/3/12,2012-5-3,5
5/5/12,2012-5-5,5
6/1/12,2012-6-1,5
6/12/12,2012-6-12,5
6/19/12,2012-6-19,5
6/22/12,2012-6-22,5
6/29/12,2012-6-29,4
6/29/12,2012-6-29,1
6/6/12,2012-6-6,4
6/7/12,2012-6-7,5
6/9/12,2012-6-9,5
6/9/12,2012-6-9,4
7/10/12,2012-7-10,5
7/11/12,2012-7-11,5
7/17/12,2012-7-17,5
7/18/12,2012-7-18,5
7/18/12,2012-7-18,5
7/19/12,2012-7-19,4
7/20/12,2012-7-20,3
7/20/12,2012-7-20,5
7/24/12,2012-7-24,3
7/26/12,2012-7-26,4
7/26/12,2012-7-26,3
7/4/12,2012-7-4,5
7/5/12,2012-7-5,4
7/7/12,2012-7-7,5
7/7/12,2012-7-7,5
7/7/12,2012-7-7,5
7/9/12,2012-7-9,4
8/12/12,2012-8-12,5
8/12/12,2012-8-12,1
8/13/12,2012-8-13,4
8/13/12,2012-8-13,3
8/13/12,2012-8-13,4
8/2/12,2012-8-2,4
8/22/12,2012-8-22,4
8/29/12,2012-8-29,4
8/9/12,2012-8-9,1
9/11/12,2012-9-11,1
9/16/12,2012-9-16,5
9/18/12,2012-9-18,1
9/18/12,2012-9-18,5
9/29/12,2012-9-29,5
1/28/13,2013-1-28,4
1/31/13,2013-1-31,4
10/16/13,2013-10-16,2
10/18/13,2013-10-18,5
11/11/13,2013-11-11,3
11/28/13,2013-11-28,3
11/3/13,2013-11-3,3
11/4/13,2013-11-4,3
11/8/13,2013-11-8,5
11/9/13,2013-11-9,5
12/13/13,2013-12-13,4
12/18/13,2013-12-18,3
2/16/13,2013-2-16,4
2/4/13,2013-2-4,2
2/7/13,2013-2-7,3
2/8/13,2013-2-8,4
3/21/13,2013-3-21,5
3/31/13,2013-3-31,4
3/31/13,2013-3-31,4
3/7/13,2013-3-7,4
3/7/13,2013-3-7,5
3/8/13,2013-3-8,2
3/8/13,2013-3-8,5
4/13/13,2013-4-13,3
4/17/13,2013-4-17,2
4/28/13,2013-4-28,4
4/29/13,2013-4-29,4
4/30/13,2013-4-30,3
4/5/13,2013-4-5,4
5/2/13,2013-5-2,4
5/3/13,2013-5-3,4
5/30/13,2013-5-30,3
5/7/13,2013-5-7,2
6/12/13,2013-6-12,4
6/20/13,2013-6-20,5
6/27/13,2013-6-27,5
6/6/13,2013-6-6,2
7/13/13,2013-7-13,4
7/31/13,2013-7-31,4
7/7/13,2013-7-7,2
8/11/13,2013-8-11,1
8/17/13,2013-8-17,2
8/19/13,2013-8-19,4
8/23/13,2013-8-23,2
8/24/13,2013-8-24,5
8/30/13,2013-8-30,3
8/4/13,2013-8-4,4
9/20/13,2013-9-20,5
9/26/13,2013-9-26,3
9/26/13,2013-9-26,3
9/9/13,2013-9-9,5
1/23/14,2014-1-23,4
1/28/14,2014-1-28,4
1/29/14,2014-1-29,2
1/29/14,2014-1-29,2
1/30/14,2014-1-30,3
1/30/14,2014-1-30,4
1/31/14,2014-1-31,3
2/11/14,2014-2-11,4
2/13/14,2014-2-13,4
2/16/14,2014-2-16,4
2/21/14,2014-2-21,1
2/26/14,2014-2-26,4
2/4/14,2014-2-4,2
2/6/14,2014-2-6,4
2/9/14,2014-2-9,3
3/10/14,2014-3-10,5
3/19/14,2014-3-19,5
3/29/14,2014-3-29,4
3/31/14,2014-3-31,5
3/8/14,2014-3-8,3
4/1/14,2014-4-1,5
4/13/14,2014-4-13,3
4/3/14,2014-4-3,3
4/5/14,2014-4-5,5
5/24/14,2014-5-24,5
5/5/14,2014-5-5,1
6/1/14,2014-6-1,2
6/27/14,2014-6-27,3
6/5/14,2014-6-5,4
6/6/14,2014-6-6,3
7/13/14,2014-7-13,5
7/8/14,2014-7-8,5
7/9/14,2014-7-9,4
